,area,id,region,title,lat,lot,full_adress,population_2010,man_2010,female_2010
16,Каа-Хемский район,1157088,Тыва ,Бай-Соот,"51,7517486","95,3153976","Бай-Соот, Кундустугский сумон, Каа-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",,,
17,Бай-Тайгинский район,1157052,Тыва ,Бай-Тал,"50,9109348","90,0583621","Бай-Тал, Бай-Тайгинский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",1786,848,938
18,Тандинский район,17356,Тыва ,Бай-Хаак,"51,1601031","94,4651991","Бай-Хаак, Тандинский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",2981,1370,1611
19,Тандинский район,1157157,Тыва ,Балгазын,"50,9964468","95,1670684","Балгазын, Тандинский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",3525,1708,1817
20,Барун-Хемчикский район,1157065,Тыва ,Барлык,"50,4388867","90,7005847","Барлык, Овюрский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",1468,725,743
21,Кызылский район,1157106,Тыва ,Баян-Кол,"50,3693274","95,5693733","Баян-Кол, Моренский сумон, Эрзинский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",1252,614,638
22,Дзун-Хемчикский район,1157074,Тыва ,Баян-Тала,"51,4573557","91,430771","Баян-Тала, Дзун-Хемчикский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",749,363,386
23,Тес-Хемский район,1157174,Тыва ,Белдир-Арыг,"50,5733792","94,9732734","Бельдир-Арыг, Тес-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",,,
24,Тес-Хемский район,1157175,Тыва ,Берт-Даг,"50,6253442","94,7941167","Берт-Даг, Тес-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",1034,504,530
25,Барун-Хемчикский район,1157066,Тыва ,Бижиктиг-Хая,"51,0998154","90,6385447","Бижиктиг-Хая, Барун-Хемчикский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",576,286,290
26,Пий-Хемский район,1157132,Тыва ,Билелиг,"52,2732863","93,8794007","Билелиг, городское поселение Туран, Пий-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",,,
27,Сут-Хольский район,1157150,Тыва ,Бора-Тайга,"51,4044258","91,146738","Бора-Тайга, Сут-Хольский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",748,369,379
28,Каа-Хемский район,1157089,Тыва ,Бояровка,"51,5380167","95,3540499","Бояровка, Каа-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",673,340,333
29,Чаа-Хольский район,1157201,Тыва ,Булун-Терек,"51,4769681","92,2654182","Булун-Терек, Чаа-Хольский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",,,
30,Каа-Хемский район,1157090,Тыва ,Бурен-Бай-Хаак,"51,2449768","95,55685","Бурен-Бай-Хаак, Каа-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",1219,596,623
31,Каа-Хемский район,1157091,Тыва ,Бурен-Хем,"51,6519455","95,0071514","Бурен-Хем, Каа-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",950,443,507
32,Тандинский район,1157158,Тыва ,Владимировка,"50,9977926","95,3055046","Владимировка, Тандинский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",,,
33,Кызылский район,1157107,Тыва ,Геологов,"51,643204","94,2571462","улица Геологов, Сукпакский сумон, Кызылский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",,,
34,Каа-Хемский район,1157092,Тыва ,Дерзиг-Аксы,"51,456125","95,6081696","Дерзиг-Аксы, Каа-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",973,487,486
35,Барун-Хемчикский район,1157067,Тыва ,Дон-Терезин,"51,2144574","90,7030085","Дон-Терезин, Барун-Хемчикский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",,,
